ROW_ID,TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION,UDI_level,SUN_level,RAD_level,exposure_score,spatial_label,sun_h_day_estimated,sun_norm,radiation_norm,udi_norm,tile_light_index,cluster_0_score,cluster_1_score,cluster_2_score,cluster_3_score,bridge_cluster_0_probability,bridge_cluster_1_probability,bridge_cluster_2_probability,bridge_cluster_3_probability,plant_cluster_target,plant_cluster_target_label,bridge_top1_probability,bridge_top2_cluster,bridge_top3_cluster,bridge_margin,bridge_source_clusters
23660,TILE_060,180,0.0,0.2,0.5,0.8,3.78,1385.0,347.772,2,4,4,3.1,bright_indirect,3.7945205479452055,0.44675887352107985,0.6211521697934431,0.027139240506329113,0.48327389354216826,0.1512428572438207,0.1734535589000213,0.7630106017147883,0.03164030583636842,0.01621689687940132,0.018805042656805427,0.957672006071653,0.007306054392140222,2,bridge_cluster_2,0.957672006071653,1,0,0.9388669634148477,cluster_3
23661,TILE_061,180,0.0,0.2,0.5,0.8,1.73,1747.0,426.699,1,5,5,3.2,bright_indirect,4.786301369863014,0.5674054324279286,0.7707201061209019,0.006379746835443037,0.6027944670305181,0.5355231168432777,0.023403056610489602,0.5263616859634594,0.0026624035969871735,0.49942264447301987,0.016433451537245694,0.4698326250245277,0.014311278965206587,0,bridge_cluster_0,0.49942264447301987,2,1,0.029590019448492155,"cluster_0, cluster_2"
23662,TILE_062,180,0.0,0.2,0.5,0.8,1.81,1943.0,410.269,1,5,5,3.2,bright_indirect,5.323287671232877,0.6327278786868855,0.7395849914724274,0.007189873417721518,0.618259778913463,0.7466323500783597,0.006906718493769237,0.32526539151476036,0.0013190357477569604,0.9307296540103335,0.006715811302898574,0.056084293251942426,0.006470241434825644,0,bridge_cluster_0,0.9307296540103335,2,1,0.874645360758391,"cluster_0, cluster_2"
23663,TILE_063,180,0.0,0.2,0.5,0.8,1.95,1857.0,381.604,1,5,5,3.2,bright_indirect,5.087671232876712,0.6040659890018331,0.6852643547470152,0.00860759493670886,0.5810594141806527,0.6211378888071641,0.013431479935275655,0.42642079820885115,0.0026947899240762747,0.7653209762590868,0.013315373414108472,0.20896805331224752,0.012395597014557062,0,bridge_cluster_0,0.7653209762590868,2,1,0.5563529229468392,"cluster_0, cluster_2"
23664,TILE_064,180,0.0,0.2,0.5,0.8,2.11,1642.0,355.283,1,4,4,2.65,medium_indirect,4.498630136986302,0.5324112647892018,0.6353856357779041,0.01022784810126582,0.5265313900653242,0.35234214982866496,0.050218985802807356,0.6579133652782262,0.008668994879120666,0.11231867024737766,0.014987037703440637,0.8613333000322844,0.011360992016897385,2,bridge_cluster_2,0.8613333000322844,0,1,0.7490146297849067,cluster_3
23665,TILE_065,180,0.0,0.2,0.5,0.8,2.44,1523.0,334.219,2,4,4,3.1,bright_indirect,4.1726027397260275,0.492751208131978,0.5954690164866401,0.013569620253164556,0.4910560631036946,0.22978844301876264,0.09600851955960449,0.7471200141063518,0.017592180543851716,0.03019511075925219,0.012376677557767859,0.9500904175834942,0.007337794099485825,2,bridge_cluster_2,0.9500904175834942,0,1,0.919895306824242,cluster_3
23666,TILE_066,180,0.0,0.2,0.5,0.8,3.92,1463.0,319.466,2,4,4,3.1,bright_indirect,4.008219178082192,0.47275454090984836,0.5675118438506727,0.028556962025316456,0.4709755693447661,0.17899401006870275,0.12964560003551465,0.7751499984705446,0.025326031429871623,0.018084688107516452,0.013014657458381476,0.9624083832007501,0.0064922712333520035,2,bridge_cluster_2,0.9624083832007501,0,1,0.9443236950932337,cluster_3
23667,TILE_067,180,0.0,0.2,0.5,0.8,8.6,1302.0,298.824,3,4,4,3.5500000000000003,bright_indirect,3.5671232876712327,0.4190968171971338,0.5283949213568315,0.0759493670886076,0.4339662190581452,0.09200591970803122,0.2525331403243957,0.8153366450348667,0.05755189457109816,0.007754979817054872,0.022612812373664793,0.9634687269461112,0.006163480863168926,2,bridge_cluster_2,0.9634687269461112,1,0,0.9408559145724464,cluster_3
23668,TILE_068,180,0.0,0.2,0.5,0.8,13.89,1159.0,254.869,3,3,3,3.0,medium_indirect,3.175342465753425,0.3714380936510582,0.4450994883456509,0.12951898734177217,0.3803938106326963,0.04211786915842567,0.4147650662161573,0.8788831599831628,0.12357493999638372,0.003579465660576781,0.04292816681075563,0.947331234638544,0.006161132890123719,2,bridge_cluster_2,0.947331234638544,1,3,0.9044030678277883,cluster_3
23669,TILE_069,180,0.0,0.2,0.5,0.8,28.52,1048.0,175.577,4,3,2,3.1000000000000005,bright_indirect,2.871232876712329,0.33444425929011834,0.29483987113890464,0.27767088607594936,0.31094494730065525,0.017058099533119455,0.5845798842543163,0.9543333372584366,0.2281444993464969,0.0017658777746437336,0.07764339263255426,0.9133776891897432,0.0072130404030589295,2,bridge_cluster_2,0.9133776891897432,1,3,0.8357342965571889,cluster_3
