BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,cell_count,mean_udi,mean_sun,mean_radiation
270,0.8,0.8,0.5,0.0,100,5.9936,1441.155,353.11798999999996
270,0.8,0.8,0.2,0.0,100,9.8964,1335.125,311.77596
270,0.8,0.8,0.0,0.8,100,2.28375,2228.135,432.42510000000004
270,0.8,0.8,0.0,0.5,100,4.73345,1822.7,376.19212
270,0.8,0.8,0.0,0.2,100,8.448,1475.13,321.65046
270,0.8,0.5,0.8,0.0,100,5.22185,1161.19,336.94033
270,0.8,0.5,0.5,0.0,100,10.11685,1008.44,292.12295
270,0.8,0.5,0.2,0.0,100,17.0961,902.41,250.60184
270,0.8,0.5,0.0,0.8,100,4.88095,1795.42,374.39954
270,0.8,0.5,0.0,0.5,100,8.544500000000001,1389.985,316.92347
270,0.8,0.5,0.0,0.2,100,14.865599999999999,1042.415,260.62654
270,0.8,0.2,0.8,0.0,100,7.8053,848.63,278.80276000000003
270,0.8,0.2,0.5,0.0,100,15.80165,695.88,232.85505
270,0.8,0.2,0.2,0.0,100,28.12495,589.85,190.59952
270,0.8,0.2,0.0,0.8,100,9.01675,1482.86,317.63986
270,0.8,0.2,0.0,0.5,100,15.27705,1077.425,258.70902
270,0.8,0.2,0.0,0.2,100,26.636999999999997,729.855,201.22983
270,0.8,0.0,0.8,0.8,100,3.60115,1589.805,391.80979
270,0.8,0.0,0.8,0.5,100,5.8041,1184.37,333.27834
270,0.8,0.0,0.8,0.2,100,8.214,836.8,277.22394
270,0.8,0.0,0.5,0.8,100,6.61515,1437.055,347.59728
270,0.8,0.0,0.5,0.5,100,10.795,1031.62,288.34797
270,0.8,0.0,0.5,0.2,100,16.5652,684.05,231.71226
270,0.5,0.0,0.2,0.8,100,17.9152,1196.655,261.16014
270,0.5,0.0,0.2,0.2,100,44.60635,443.65,143.13126
270,0.0,0.2,0.2,0.8,100,22.9736,1257.725,230.90097000000003
270,0.2,0.0,0.2,0.2,100,66.12,342.915,99.93177
270,0.0,0.8,0.8,0.5,100,4.7299,1856.345,379.04489
270,0.0,0.8,0.8,0.2,100,8.55465,1508.775,324.46935
270,0.0,0.8,0.5,0.8,100,3.3234500000000002,2109.03,390.00645
270,0.0,0.8,0.5,0.5,100,7.48395,1703.595,332.63624000000004
270,0.0,0.8,0.5,0.2,100,14.156099999999999,1356.025,277.94874
270,0.0,0.8,0.2,0.8,100,4.6817,2003.0,348.39368
270,0.0,0.8,0.2,0.5,100,10.8604,1597.565,290.65706
270,0.0,0.8,0.2,0.2,100,22.001649999999998,1249.995,234.71837
270,0.0,0.5,0.8,0.8,100,4.92665,1829.065,377.10976000000005
270,0.0,0.5,0.8,0.5,100,8.798,1423.63,319.59806000000003
270,0.0,0.5,0.8,0.2,100,15.253499999999999,1076.06,263.58947
270,0.0,0.5,0.5,0.8,100,7.7132000000000005,1676.315,331.30908999999997
270,0.0,0.5,0.5,0.5,100,13.9923,1270.88,272.69322
270,0.0,0.5,0.5,0.2,100,24.594949999999997,923.31,216.58461
270,0.0,0.5,0.2,0.8,100,11.173399999999999,1570.285,289.07237000000003
270,0.0,0.5,0.2,0.5,100,20.78985,1164.85,230.11835
270,0.0,0.5,0.2,0.2,100,37.4908,817.28,173.03937000000002
270,0.0,0.2,0.8,0.8,100,9.14055,1516.505,320.62781
270,0.0,0.2,0.8,0.5,100,15.5948,1111.07,261.36808
270,0.0,0.2,0.8,0.2,100,27.0922,763.5,204.35737
270,0.0,0.2,0.5,0.8,100,14.8955,1363.755,274.01329000000004
270,0.0,0.2,0.5,0.5,100,25.04395,958.32,214.18275000000003
270,0.0,0.2,0.5,0.2,100,41.829449999999994,610.75,156.82784
270,0.0,0.8,0.8,0.8,100,2.24115,2261.78,435.3344
270,0.2,0.0,0.2,0.5,100,44.334799999999994,690.485,158.58151
270,0.2,0.8,0.8,0.0,100,9.88255,1358.8,314.00363
270,0.2,0.0,0.2,0.8,100,28.7748,1095.92,219.13716
270,0.2,0.8,0.5,0.0,100,16.7809,1206.05,267.69058
270,0.2,0.8,0.2,0.0,100,27.483400000000003,1100.02,225.04287
270,0.2,0.8,0.0,0.8,100,4.72275,1993.03,347.63665999999995
270,0.2,0.8,0.0,0.5,100,10.7492,1587.595,290.12899
270,0.2,0.8,0.0,0.2,100,21.84435,1240.025,233.9251
270,0.2,0.5,0.8,0.0,100,17.0519,926.085,252.73203
270,0.2,0.5,0.5,0.0,100,28.170949999999998,773.335,205.72615
270,0.2,0.5,0.2,0.0,100,43.21625,667.305,162.21444
270,0.2,0.5,0.0,0.8,100,11.16265,1560.315,288.43986
270,0.2,0.5,0.0,0.5,100,20.65405,1154.88,229.59413
270,0.2,0.5,0.0,0.2,100,37.2166,807.31,172.29289
270,0.2,0.2,0.8,0.0,100,28.390900000000002,613.525,192.83395000000002
270,0.2,0.2,0.5,0.0,100,44.1145,460.775,145.49701000000002
270,0.2,0.2,0.2,0.0,100,65.4503,354.745,101.47480999999999
270,0.2,0.2,0.0,0.8,100,22.8356,1247.755,230.27456
270,0.2,0.2,0.0,0.5,100,38.088499999999996,842.32,170.10966
270,0.2,0.2,0.0,0.2,100,62.1916,494.75,111.52679
270,0.2,0.0,0.8,0.8,100,10.922550000000001,1354.7,308.50557000000003
270,0.2,0.0,0.8,0.5,100,18.04365,949.265,248.85864
270,0.2,0.0,0.8,0.2,100,28.487750000000002,601.695,191.29092
270,0.2,0.0,0.5,0.8,100,18.0089,1201.95,262.08257000000003
270,0.2,0.0,0.5,0.5,100,28.9038,796.515,202.04337999999998
270,0.2,0.0,0.5,0.2,100,44.3398,448.945,143.91218999999998
180,0.0,0.2,0.2,0.8,100,23.01025,1257.725,230.87473000000003
180,0.0,0.2,0.2,0.2,100,61.82645,504.72,112.28236000000001
0,0.0,0.2,0.2,0.8,100,22.94985,1257.73,231.02718000000002
0,0.8,0.0,0.2,0.2,100,28.5761,578.02,189.18722999999997
0,0.5,0.8,0.5,0.0,100,10.201749999999999,1306.785,309.07542
0,0.5,0.8,0.2,0.0,100,16.72085,1200.755,266.85744
0,0.5,0.8,0.0,0.8,100,3.3476999999999997,2093.77,388.51426
0,0.5,0.8,0.0,0.5,100,7.472799999999999,1688.33,331.39786
0,0.5,0.8,0.0,0.2,100,14.04845,1340.76,276.24339
0,0.5,0.5,0.8,0.0,100,10.03345,1026.82,293.02038
0,0.5,0.5,0.5,0.0,100,17.24735,874.07,247.53567999999999
0,0.5,0.5,0.2,0.0,100,27.84935,768.04,204.66728
0,0.5,0.5,0.0,0.8,100,7.6401,1661.055,329.48042999999996
0,0.5,0.5,0.0,0.5,100,13.74195,1255.615,271.08819
0,0.5,0.5,0.0,0.2,100,24.1203,908.045,214.96173
0,0.5,0.2,0.8,0.0,100,15.67395,714.26,234.43437999999998
0,0.5,0.2,0.5,0.0,100,27.2229,561.51,188.1207
0,0.5,0.2,0.2,0.0,100,44.204049999999995,455.48,144.59858
0,0.5,0.2,0.0,0.8,100,14.67695,1348.495,272.23234
0,0.5,0.2,0.0,0.5,100,24.828049999999998,943.055,212.52080999999998
