TILE_ID,BUILDING_ORIENTATION,RATIO_N,RATIO_E,RATIO_S,RATIO_W,UDI,SUN_HOURS,RADIATION
TILE_099,0,0,0.8,0.2,0.2,47.495,624,147.18
TILE_000,0,0,0.2,0.5,0.2,96.835,122,50.835
TILE_001,0,0,0.2,0.5,0.2,88.16,150,64.617
TILE_002,0,0,0.2,0.5,0.2,77.15,185,80.684
TILE_003,0,0,0.2,0.5,0.2,71.7,226,88.223
TILE_004,0,0,0.2,0.5,0.2,70.93,203,93.295
TILE_005,0,0,0.2,0.5,0.2,71.15,211,93.54
TILE_006,0,0,0.2,0.5,0.2,71.48,231,87.664
TILE_007,0,0,0.2,0.5,0.2,77.86,184,78.88
TILE_008,0,0,0.2,0.5,0.2,88.19,126,64.572
TILE_009,0,0,0.2,0.5,0.2,97.175,123,48.527
TILE_010,0,0,0.2,0.5,0.2,87.59,187,58.298
TILE_011,0,0,0.2,0.5,0.2,75.23,277,86.368
TILE_012,0,0,0.2,0.5,0.2,63.32,359,102.88
TILE_013,0,0,0.2,0.5,0.2,59.01,447,112.733
TILE_014,0,0,0.2,0.5,0.2,51.78,387,117.535
TILE_015,0,0,0.2,0.5,0.2,56.9,380,118.43
TILE_016,0,0,0.2,0.5,0.2,58.88,457,114.015
TILE_017,0,0,0.2,0.5,0.2,65.51,354,103.155
TILE_018,0,0,0.2,0.5,0.2,75.18,217,82.487
TILE_019,0,0,0.2,0.5,0.2,90.47,206,56.351
TILE_020,0,0,0.2,0.5,0.2,83.64,279,68.939
TILE_021,0,0,0.2,0.5,0.2,56.55,402,115.194
TILE_022,0,0,0.2,0.5,0.2,41.45,518,138.236
TILE_023,0,0,0.2,0.5,0.2,34.85,634,141.642
TILE_024,0,0,0.2,0.5,0.2,34.58,552,145.787
TILE_025,0,0,0.2,0.5,0.2,34.16,525,145.702
TILE_026,0,0,0.2,0.5,0.2,36.16,662,148.309
TILE_027,0,0,0.2,0.5,0.2,40.58,517,139.702
TILE_028,0,0,0.2,0.5,0.2,59.53,339,112.131
TILE_029,0,0,0.2,0.5,0.2,84.82,292,68.536
TILE_030,0,0,0.2,0.5,0.2,74.33,310,83.85
TILE_031,0,0,0.2,0.5,0.2,35.42,452,153.026
TILE_032,0,0,0.2,0.5,0.2,24.6,622,175.834
TILE_033,0,0,0.2,0.5,0.2,23.37,827,176.566
TILE_034,0,0,0.2,0.5,0.2,23.1,673,173.813
TILE_035,0,0,0.2,0.5,0.2,22.52,687,175.838
TILE_036,0,0,0.2,0.5,0.2,21.48,858,177.86
TILE_037,0,0,0.2,0.5,0.2,23.59,643,173.02
TILE_038,0,0,0.2,0.5,0.2,37.23,407,151.457
TILE_039,0,0,0.2,0.5,0.2,74.14,352,83.296
TILE_040,0,0,0.2,0.5,0.2,65.62,387,96.637
TILE_041,0,0,0.2,0.5,0.2,26.44,540,181.423
TILE_042,0,0,0.2,0.5,0.2,18.58,709,211.287
